State,Staffed Beds
Alabama,14875
Alaska,1270
Arizona,13846
Arkansas,7689
California,74443
Colorado,8536
Connecticut,8606
Delaware,2114
District of Columbia,2168
Florida,57305
Georgia,22310
Hawaii,2437
Idaho,2667
Illinois,27360
Indiana,15353
Iowa,6293
Kansas,6371
Kentucky,12724
Louisiana,14262
Maine,2841
Maryland,10304
Massachusetts,14351
Michigan,21874
Minnesota,10182
Mississippi,9129
Missouri,16601
Montana,2273
Nebraska,4153
Nevada,6022
New Hampshire,2379
New Jersey,20167
New Mexico,3960
New York,56494
North Carolina,22760
North Dakota,1868
Ohio,27529
Oklahoma,9645
Oregon,6294
Pennsylvania,34399
Rhode Island,2439
South Carolina,11265
South Dakota,2668
Tennessee,18445
Texas,60446
Utah,4895
Vermont,851
Virginia,16796
Washington,10458
West Virginia,5380
Wisconsin,10994
Wyoming,1260
Puerto Rico,8174
